2021-06-15 04:52:00,841 | asyncio | DEBUG | Using selector: EpollSelector
2021-06-15 04:52:00,843 | bot | DEBUG | created bot base.
2021-06-15 04:52:00,904 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-06-15 04:52:00,905 | constant | DEBUG | init database succesful
2021-06-15 04:52:01,075 | utils.planner | DEBUG | triggered update
2021-06-15 04:52:01,118 | bot | DEBUG | bot subclass Created.
2021-06-15 04:52:01,122 | bot | INFO | Cog loaded: AdminCommands
2021-06-15 04:52:01,124 | bot | INFO | Cog loaded: Latency
2021-06-15 04:52:01,125 | bot | INFO | Cog loaded: VoiceChannel
2021-06-15 04:52:01,128 | bot | INFO | Cog loaded: Help
2021-06-15 04:52:01,129 | bot | INFO | Cog loaded: ErrorHandler
2021-06-15 04:52:01,131 | bot | INFO | Cog loaded: SetUp
2021-06-15 04:52:01,133 | bot | INFO | Cog loaded: WaitForEvent
2021-06-15 04:52:01,318 | bot | INFO | Cog loaded: KUSNews
2021-06-15 04:52:01,330 | bot | INFO | Cog loaded: Updater
2021-06-15 04:52:01,332 | bot | INFO | Cog loaded: DayLoop
2021-06-15 04:52:01,335 | bot | INFO | Cog loaded: Assignments
2021-06-15 04:52:01,336 | bot | INFO | Cog loaded: Debug
2021-06-15 04:52:01,339 | bot | INFO | Cog loaded: Utility
2021-06-15 04:52:01,345 | bot | INFO | Cog loaded: Snekbox
2021-06-15 04:52:01,347 | bot | INFO | Cog loaded: NewPatch
2021-06-15 04:52:01,470 | exts.kus | DEBUG | loaded data
2021-06-15 04:52:01,842 | exts.debug | DEBUG | {"op":1,"d":null}
2021-06-15 04:52:01,843 | exts.debug | DEBUG | {"op":2,"d":{"token":"NzI4NDgyNjA0NzQ3MTk0NDE4.Xv7CSw.xiLx1c6QNDTuiJBEbqtuVf2DFGo","properties":{"$os":"linux","$browser":"discord.py","$device":"discord.py","$referrer":"","$referring_domain":""},"compress":true,"large_threshold":250,"guild_subscriptions":true,"v":3,"presence":{"status":"dnd","game":{"flags":0,"type":3,"name":"myself starting..."},"since":0,"afk":false},"intents":32767}}
2021-06-15 04:52:04,182 | utils.planner | DEBUG | returning sorted date for 562976873685057546
2021-06-15 04:52:04,227 | bot | INFO | Connected successfully
2021-06-15 04:52:04,751 | bot | DEBUG | changed bot status
2021-06-15 04:52:04,752 | exts.debug | DEBUG | {"op":3,"d":{"game":{"flags":0,"type":0,"name":",help command"},"afk":false,"since":0.0,"status":"online"}}
2021-06-15 04:52:05,200 | utils.planner | DEBUG | returning sorted date for 728482381215826000
2021-06-15 04:52:05,321 | utils.planner | DEBUG | returning sorted date for 676256965650808873
2021-06-15 04:52:24,428 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 04:52:26,649 | bot | DEBUG | waiting for message...
2021-06-15 04:52:28,672 | exts.assignment | WARNING | something went wrong in homework menu for 518063131096907813
2021-06-15 04:52:31,191 | exts.errorhand | DEBUG | Command add invoked by Tpmonkey#2682 with error CommandInvokeError: Command raised an exception: KeyError: 518063131096907813
2021-06-15 04:52:31,191 | bot | DEBUG | exts.errorhand :negative_squared_cross_mark: Command `add` invoked by `Tpmonkey#2682` with error 
`CommandInvokeError`: Command raised an exception: KeyError: 518063131096907813
2021-06-15 04:55:23,329 | bot | INFO | Cog loaded: Assignments
2021-06-15 04:55:28,950 | exts.assignment | DEBUG | init dat for 518063131096907813
2021-06-15 04:55:31,177 | bot | DEBUG | waiting for message...
2021-06-15 04:55:34,474 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 04:55:34,475 | bot | DEBUG | waiting for message...
2021-06-15 04:55:35,741 | exts.assignment | DEBUG | update embed successfully for 518063131096907813
2021-06-15 04:55:35,741 | bot | DEBUG | waiting for message...
2021-06-15 04:55:37,362 | exts.assignment | DEBUG | processing ❎ for 518063131096907813
2021-06-15 04:56:28,902 | bot | INFO | Cog loaded: Assignments
