2021-09-26 02:21:57,276 | asyncio | DEBUG | Using selector: EpollSelector
2021-09-26 02:21:57,277 | bot | DEBUG | created bot base.
2021-09-26 02:21:57,291 | constant | DEBUG | init database succesful
2021-09-26 02:21:57,426 | utils.planner | DEBUG | triggered update
2021-09-26 02:21:57,433 | bot | DEBUG | bot subclass Created.
2021-09-26 02:21:57,435 | bot | INFO | Cog loaded: SetUp
2021-09-26 02:21:57,437 | bot | INFO | Cog loaded: Help
2021-09-26 02:21:57,439 | bot | INFO | Cog loaded: Updater
2021-09-26 02:21:57,755 | bot | INFO | Cog loaded: Music
2021-09-26 02:21:57,757 | bot | INFO | Cog loaded: Snekbox
2021-09-26 02:21:57,758 | bot | INFO | Cog loaded: ErrorHandler
2021-09-26 02:21:57,759 | bot | INFO | Cog loaded: VoiceChannel
2021-09-26 02:21:57,760 | bot | INFO | Cog loaded: DayLoop
2021-09-26 02:21:57,761 | bot | INFO | Cog loaded: Latency
2021-09-26 02:21:57,763 | bot | INFO | Cog loaded: Utility
2021-09-26 02:21:57,766 | bot | INFO | Cog loaded: Assignments
2021-09-26 02:21:57,767 | bot | INFO | Cog loaded: AdminCommands
2021-09-26 02:21:57,768 | bot | INFO | Cog loaded: NewPatch
2021-09-26 02:21:57,823 | bot | INFO | Cog loaded: KUSNews
2021-09-26 02:21:57,824 | bot | INFO | Cog loaded: Debug
2021-09-26 02:21:57,918 | exts.kus | DEBUG | loaded data
2021-09-26 02:22:00,837 | utils.planner | DEBUG | returning sorted date for 562976873685057546
2021-09-26 02:22:00,873 | bot | INFO | Connected successfully
2021-09-26 02:22:01,865 | bot | DEBUG | changed bot status
2021-09-26 02:22:01,868 | bot | DEBUG | creating assignment embed...
2021-09-26 02:22:01,868 | bot | DEBUG | successfully created assignment embed
2021-09-26 02:22:03,003 | bot | DEBUG | creating assignment embed...
2021-09-26 02:22:03,003 | bot | DEBUG | successfully created assignment embed
2021-09-26 02:22:04,083 | bot | DEBUG | creating assignment embed...
2021-09-26 02:22:04,083 | bot | DEBUG | successfully created assignment embed
2021-09-26 02:22:05,200 | bot | DEBUG | creating assignment embed...
2021-09-26 02:22:05,200 | bot | DEBUG | successfully created assignment embed
2021-09-26 02:22:06,353 | bot | DEBUG | creating assignment embed...
2021-09-26 02:22:06,353 | bot | DEBUG | successfully created assignment embed
2021-09-26 02:22:07,490 | bot | DEBUG | creating assignment embed...
2021-09-26 02:22:07,490 | bot | DEBUG | successfully created assignment embed
2021-09-26 02:22:08,625 | bot | DEBUG | exts.update :white_check_mark: Sucessfully update works at 562976873685057546 :
99EEEEEE
2021-09-26 02:22:08,751 | exts.update | DEBUG | updated active-works for 562976873685057546
2021-09-26 02:22:08,786 | utils.planner | DEBUG | returning sorted date for 728482381215826000
2021-09-26 02:22:08,886 | bot | DEBUG | creating assignment embed...
2021-09-26 02:22:08,887 | bot | DEBUG | successfully created assignment embed
2021-09-26 02:22:09,989 | bot | DEBUG | exts.update :white_check_mark: Sucessfully update works at 728482381215826000 :
33E
2021-09-26 02:22:10,172 | exts.update | DEBUG | updated active-works for 728482381215826000
2021-09-26 02:22:10,172 | utils.planner | DEBUG | returning sorted date for 829749071891005512
2021-09-26 02:22:10,310 | utils.planner | DEBUG | returning sorted date for 773426467492069386
2021-09-26 04:38:41,236 | bot | INFO | Resumed Connection
2021-09-26 04:38:41,404 | bot | DEBUG | changed bot status
